date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2025-03-19,6888570660,USHB | Hospital Beds MF,20,7,42.948475,0.0
2025-03-19,11037712757,ON Search - Rental Beds,12,2,9.35,0.0
2025-03-19,13425650120,Branded - USA,3,2,10.11,0.0
2025-03-19,19562339741,PMax Beds CA,3938,28,21.39948,0.0
2025-03-19,20086993600,Branded - CAN,5,2,6.62,0.0
2025-03-19,20192264159,US Search - Rentals MOIL,4,3,15.67,0.0
2025-03-19,21043653785,USSHOP | For Home,108,1,24.67,0.0
2025-03-19,21043653797,USHB | For Home MF,21,1,4.76,0.0
2025-03-19,21375484275,USHB | Luxury MF,40,5,39.29,0.0
2025-03-19,21391659590,USSHOP | Luxury,401,0,0.0,0.0
2025-03-19,21644242512,PMax HBeds US,3763,52,120.686718,0.0
2025-03-19,21887165915,PMax HBeds US TT,3967,16,127.628599,0.0
2025-03-19,22045451723,PMax HBeds TX TT,2786,11,26.574654,0.0
2025-03-19,22049131126,PMax HBeds NY TT,1430,13,69.761734,0.0
2025-03-18,6537498438,CA & US Search - Volker,5,1,6.0,0.0
2025-03-18,6888570660,USHB | Hospital Beds MF,236,32,199.69,0.0
2025-03-18,11037712757,ON Search - Rental Beds,118,10,63.64,0.0
2025-03-18,13425650120,Branded - USA,24,11,35.48,0.0
2025-03-18,19562339741,PMax Beds CA,46385,384,306.829237,0.0
2025-03-18,20086993600,Branded - CAN,23,5,4.98,0.0
2025-03-18,20192264159,US Search - Rentals MOIL,29,5,23.33,0.0
2025-03-18,21043653785,USSHOP | For Home,1064,7,131.26,0.0
2025-03-18,21043653797,USHB | For Home MF,248,29,159.590129,0.0
2025-03-18,21375484275,USHB | Luxury MF,386,51,365.228809,0.0
2025-03-18,21391659590,USSHOP | Luxury,3559,23,200.908948,0.0
2025-03-18,21644242512,PMax HBeds US,37736,545,1612.079944,0.0
2025-03-18,21887165915,PMax HBeds US TT,25439,148,864.668685,0.0
2025-03-18,22045451723,PMax HBeds TX TT,13818,101,209.910559,0.0
2025-03-18,22049131126,PMax HBeds NY TT,25247,389,349.490023,0.0
2025-03-17,6537498438,CA & US Search - Volker,4,1,6.29,0.0
2025-03-17,6888570660,USHB | Hospital Beds MF,231,25,174.298793,0.0
2025-03-17,11037712757,ON Search - Rental Beds,50,11,56.56233,0.0
2025-03-17,13425650120,Branded - USA,53,12,43.054411,0.0
2025-03-17,19562339741,PMax Beds CA,37367,272,220.119759,0.0
2025-03-17,20086993600,Branded - CAN,45,11,32.457923,0.0
2025-03-17,20192264159,US Search - Rentals MOIL,21,6,33.36,0.0
2025-03-17,21043653785,USSHOP | For Home,2751,16,260.919349,0.0
2025-03-17,21043653797,USHB | For Home MF,348,26,161.823143,0.0
2025-03-17,21375484275,USHB | Luxury MF,531,45,320.658306,0.0
2025-03-17,21391659590,USSHOP | Luxury,5994,31,314.349446,0.0
2025-03-17,21644242512,PMax HBeds US,26437,372,1641.832116,0.0
2025-03-17,21887165915,PMax HBeds US TT,20434,139,931.97616,0.0
2025-03-17,22045451723,PMax HBeds TX TT,14467,73,312.868424,0.0
2025-03-17,22049131126,PMax HBeds NY TT,18868,220,357.22913,0.0
2025-03-16,6537498438,CA & US Search - Volker,1,0,0.0,0.0
2025-03-16,11037712757,ON Search - Rental Beds,86,11,59.615119,0.0
2025-03-16,13425650120,Branded - USA,20,4,15.34,0.0
2025-03-16,19562339741,PMax Beds CA,72307,416,220.94658,0.0
2025-03-16,20086993600,Branded - CAN,6,2,1.38,0.0
2025-03-16,20192264159,US Search - Rentals MOIL,19,3,16.528058,0.0
2025-03-16,21043653785,USSHOP | For Home,555,2,34.53,0.0
2025-03-16,21391659590,USSHOP | Luxury,2362,10,81.78,0.0
2025-03-16,21741994467,PMax HBeds US SS,18983,334,464.592435,0.0
2025-03-16,21742011297,USHB | Hospital Beds SS,99,10,30.273151,0.0
